date,description,cry_level
2025-01-02,boromir(fict) died in lotr,medium
2025-01-03,"""it's your Sam""(fict)",small
2025-01-03,Frodo(fict) leaving Sam(fict),small
2025-01-03,Gandalf(fict) describing death,small
2025-01-05,missing partner,small
2025-01-07,mother posting about me,small
2025-01-13,Bestfriend said something funny and I'm sick,small
2025-01-13,flat tire and shitty day,big
2025-01-15,pit orcehstra and feeling unsupported,big
2025-01-18,fighting with mother,medium
2025-01-27,bad day but partner made me laugh,small
2025-02-10,tried to make it up with mother,medium
2025-02-15,Marvel concert,small
2025-03-06,feeling alone,small
2025-03-07,Fight with Partner,medium
2025-03-29,Cast party for pit orchestra,medium
2025-03-31,body insecurities,small
2025-04-11,Fili(fict) dies,small
2025-04-11,Kili(fict) dies,medium
2025-04-11,Thorin(fict) dies,small
2025-04-15,Anakin(fict) kills those kids,small
2025-04-08,obi wan(fict) died,small
2025-04-29,felt like a burden,small
2025-05-04,gets blamed for siter's mistakes again,medium
2025-05-07,Bad grades and everything at once,big cry
2025-05-09,APUSH test,big
2025-05-13,Graduation,small
2025-05-24,haymitch (fict) getting reaped and thinking about Lenore(fict),small
2025-05-24,LOUELLA (fict),small
2025-05-24,haymitch (fict) meeting mags (fict),small
2025-05-24,partner got me legos!!,medium
2025-05-24,friend let the cat into my room and now my favorite blanket is covered in fur and it's everywhere,small
2025-05-26,Haymitch's(fict) parents die,small
2025-05-26,Finished sunrise on the reaping,medium
2025-05-26,Partner made me laugh,small
2025-05-31,Edwin Bridgerton(fict) died,small
2025-06-01,College stress,small
2025-06-03,Rue(fict) died hunger games,small
2025-06-06,"""not the Mockingjay, just Katniss""(fict)",small
2025-06-07,I'm sick and Daphne(fict) had a baby,small
2025-06-08,Sister and sister 2 being mean,medium
2025-06-09,Partner leaving,small
2025-06-15,Hearing friends's News,medium
2025-06-20,sister and my putty and life,medium
2025-06-22,Watching Sinners,small
2025-06-27,friends's letter,small
2025-06-30,Learning we might move,small
2025-07-03,Thinking about people dying,medium
2025-07-06,Going through photo albums,medium
2025-07-06,Partners's wedding tradition,big
2025-07-09,wait for me,medium
2025-07-09,love song,small
2025-07-09,Orpheus(fict) turns around,medium
2025-07-12,Thinking about Hadestown,medium
2025-07-16,College stress,small
2025-08-03,Partner leaving,small
2025-08-04,college stress,small
2025-08-06,dogs die,small
2025-08-08,thought my truck caught fire,small
2025-08-10,Broke up with Partner,big
2025-08-11,Got back together and I felt awful,big
2025-08-13,talking things over,medium
2025-08-18,Partner left for college,medium
2025-08-29,guy has seizure,small
2025-08-31,long distance is hard,medium
2025-08-29,last first football game,small
2025-09-12,Friend and acquaintance,big
2025-09-23,Friend gave me the csribiner,small
2025-10-10,Friend brought me a muffin,small
2025-10-10,band is hard,big
2025-10-14,Sister and Partner,medium
2025-10-15,Partner and Sister and stress and everything,medium
2025-10-19,Talking with father about stress and being overwhelmed,medium
2025-10-19,maybe couldn't visit Partner,medium
2025-10-19,talking about Sister,medium
2025-10-24,candlelight,small
2025-10-25,state run,big
2025-10-26,I'm done,big
2025-10-26,telling partner about state,small
2025-11-01,College app stress,small
2025-11-01,after submitting the apps,medium
2025-11-03,bad haircut,medium
2025-11-08,stress about interview,small
2025-11-08,prepping for interview,small
2025-11-09,interview stress,small
2025-11-17,college stress,medium
2025-11-19,Sister fucked up my audition video,small
2025-11-25,wetzels,small
2025-11-26,leaving California,medium
2025-11-29,the 13 die,small
2025-11-29,Aelin forges the lock,medium
2025-12-25,Peter pan ride,small
2025-12-28,listening to Honor To Us All,small
2025-12-28,partners mom said some hurtful stuff,medium
2025-12-29,literally no reason whatsoever,small
